link,accepted,create time,active time,author,reputation,answer quantity,combination,title,question,answer,viewed,vote,question contain code,Solution type,answer or highest vote,SDLC,Symptoms,Taxonomy_Second,Taxonomy_Third,Special case,Unnamed: 21
https://stackoverflow.com/questions/52021010/pre-compiling-php-files,Undiscussed,2018-08-25 20:29:40Z,2019-06-16 14:11:43Z,MyUsername112358,"1,196",0,"php,c,php-extension,php-internals",Pre-compiling PHP files [closed],"As a learning exercise, I'm trying to save the compiled state of a PHP file in order to execute it at a later time without having to go through , again.,The first thing I did was write an extension that hooks ,. If the request is made on an uncompiled file (ie: file.php), it dumps the , data to another file (ie: compiled-file.php). If the request is made on such a compiled file, it loads the data into a new , and then returns it.,For simplicity sake, I have ignored everything related to classes and functions, so I don't expect my extension to works on a script that contains those. But other simpler scripts should work, I think? ,Well, it works on very simple scripts, but often it just hangs and reach the maximum execution time limit. I've found that it always fails on false conditional branch. For example, this script would work:,While this one would just hangs:,My question: Am I correct in assuming that for simple scripts with no functions or classes, making a deep copy of , and returning it should be enough to replicate PHP compilation? If not, what are the other steps I should take to make it works?,Here are the relevant files of my extension:
,
,EDIT: I managed to ""fix"" my problem by changing this code:,to this one:,(And of course, applying a similar fix to oploader.c),now I'm just even more confused... why would a znode_op with an , type care about its value!??",,1k,29,yes,,0,Coding,Build,,,compile,
https://stackoverflow.com/questions/41262490/qnetwork-error-when-use-qt-lib-with-native-jni-android-application,Undiscussed,2016-12-21 12:07:33Z,2016-12-26 07:37:04Z,Alexey Pichukov,"3,327",0,"java,android,c++,qt,java-native-interface",QNetwork error when use Qt lib with native JNI Android application,"I have the simple Qt lib that makes http request like this:,All works fine when i run it on Android devices (, and ,) diractly from Qt Creator. But i want to use it inside android native application with , and ,. In this case it works only on , devices and with Android from version 6.0. If i run android application with this lib on , device it crash with next message:,And it occurs on this line of code inside my Qt lib:,This is my , file in native android project:,This is my , file to call , function:,This is my , experemental gradle file:,It would be great if somebody tell what I'm doing wrong and why the error in this line of code:,only occurs on , devices and on devices with Android version less then 6.0 and only from native Android project (from QtCreator all works without errors). Thanks for help.",,348,6,yes,,0,Coding,Build,,,unknow network error,
https://stackoverflow.com/questions/56756867/iactivescriptparse32parsescripttext-memory-leak,Undiscussed,2019-06-25 14:56:22Z,2019-07-03 13:43:00Z,xileb0,401,0,"javascript,c#,.net,scriptengine,jint",IActiveScriptParse32::ParseScriptText Memory Leak,"Has anybody ever faced a memory leak problem with IActiveScriptParse32::ParseScriptText when using it in C#?
I need a ScriptEngine that is able to parse JavaScript-Code. (Everything works fine, except the used memory),The problem is, that the longer my passed JavaScript-Code is, the more unmanaged memory is allocated by the function ""ParseScriptText"". ,I have no idea how to free the allocated space. I actually already run Marshal.ReleaseComObject(parse32) after parsing my script but somehow the used memory does not go down anymore.",,199,6,,,0,Coding,Data handling,Interoperability,,"self-anwser, stack error",
https://stackoverflow.com/questions/46750777/passing-a-javascript-array-of-strings-to-a-c-function-with-emscripten,Undiscussed,2017-10-15 01:08:10Z,2017-10-15 01:08:10Z,Brannon,"1,134",0,"javascript,c,emscripten,webassembly",Passing a JavaScript array of strings to a C function with Emscripten,"I'm new to WebAssembly and Emscripten and am trying to pass an array of strings in JavaScript to a C function for further processing with ,. Ideally I'd also like to return an array of strings back to JavaScript from C.,Below is some pseudocode of what I'm looking for:,JS,C,My guess is I won't be able to pass multi-dimensional arrays by themselves from JS to C functions, but will have to use WebAssembly heap memory instead. I know that the , has support for this kind of thing, but I haven't written C in ages and the specifics of this type of pointer manipulation is beyond me at the moment.",,895,9,yes,,0,Coding,Interfacing,Invocation mechanism,Explicit interfacing,js arrary transfer to C,
https://stackoverflow.com/questions/41875585/extending-and-embedding-python-in-c-is-pyimport-addmodule-required-to-import,Undiscussed,2017-01-26 14:21:46Z,2017-01-28 15:12:14Z,naybot,61,0,"python,c++,python-c-api,python-embedding",Extending and Embedding Python in C++: Is PyImport_AddModule required to import extension module before importing python script?,"I am embedding Python in a C++ application and I also need to call back in to the C++ code from Python. I have been able to do this with the following simple example but I'm having a weird problem in my C++ application.,Module definitions...,In main()...,Python file demo.py...,When I add this code to my C++ application I get a read access violation at PyImport_ImportModule(). To prevent this I included the following line of code before the import. ,This allows me to import a python script which includes ""import hello"" but I am not able to execute any of the functions in the hello module. ,Why is PyImport_AddModule preventing the read access violation? ,I'm not an experienced developer so I may be making some very basic mistakes. Any help would be much appreciated.,I have overcome the problem by adding the functions also with...,So although I have already initialised the module, before importing a script which is using this module I need to add it and the functions. I'm not sure I understand why so if someone could rationalise this for me it would be useful.",,1k,6,yes,,0,Coding,Interfacing,Invocation mechanism,Explicit interfacing,import module,
https://stackoverflow.com/questions/12292425/google-native-client-sending-binary-data-from-nacl-to-the-frontend,Undiscussed,2012-09-06 03:05:37Z,2019-05-21 20:50:33Z,JJin,297,0,"javascript,c++,arrays,google-nativeclient","Google Native Client, sending binary data from NACL to the frontend","How do I send binary data, e.g. , data back to the frontend ? ,I know there are two ways of doing it: utilizing the sandbox filesystem provided by NACL and get the url at the frontend; passing the data through the , using ,. It would be great if someone could give me a simple example of how to pass the binary data through ,. There is a Pong example for NACl FileSystem API but I 'm kind of confused on how to retrieve the file location as url so that the frontend JS could get it through the message. ,Here is what I have done so far, using the second method of passing data through , and ,:,So, how should the JS side catch the array buffer? Is it through , or something else?",,1k,11,yes,no answer,0,Coding,Interfacing,Interfacing choice,,-,
https://stackoverflow.com/questions/28905849/limiting-memory-usage-of-a-java-rhino-nashorn-object,Undiscussed,2015-03-06 19:04:28Z,2015-03-06 19:10:00Z,WhatAWorld,374,0,"java,javascript,jython,rhino,nashorn",Limiting memory usage of a Java/Rhino/Nashorn object,"I'm extending a server application written in Java to allow user-defined callbacks (written in Javascript) to be run in response to requests. I've done some reading, and while it seems possible to disable Java classes in Nashorn, there is nothing stopping a user from creating Javascript code that allocates an enormous array without using any Java APIs. I'm wondering if there is any way to restrict this, either proactively or reactively.,The solution I came up with is to have a process pool of JVMs with small max heap sizes, which are responsible for running the user-defined code. There will be a worker pool manager to spawn new processes when needed. This way, the main process, as well as other user-defined code, will not be affected by a single malicious user. While this solution will likely work, it seems heavy-handed. Is there no better solution for preventing malicious users from using too much memory?,I'm not particularly set on Javascript, so if there exists any other scripting language that can be run within a JVM and also has support for memory usage limits, I would be open to using it instead of Nashorn. Unfortunately, it seems like Jython, JRuby, and LuaJava all don't have what I'm looking for. Thanks in advance.",,1k,8,no,,0,Design,Interfacing,Interfacing choice,,method choice,
https://stackoverflow.com/questions/54426089/python-spider-closed-without-scraping-any-url,,,,,,,,,,,,,,,,,,,,,
