,0
770,700
771,000
772,423
773,961
774,194
775,541
776,000
777,000
778,000
779,383
780,843
781,430
782,744
783,528
784,415
785,904
786,815
787,928
788,265
789,754
790,626
791,170
792,713
793,621
794,360
795,000
796,000
797,000
798,412
799,371
800,427
801,95
802,716
803,662
804,98672
805,31
806,40
807,120
808,520
809,399
810,624
811,948
812,330
813,871
814,408
815,300
816,000
817,000
818,000
819,000
820,000
821,1340
822,15914
823,21
824,13
825,909
826,1
827,659
828,747
829,54
830,782
831,129
832,236
833,174
834,57441
835,23
836,1484
837,1
838,518
839,168
840,816
841,688
842,731
843,207
844,000
845,000
846,000
847,000
848,4
849,341
850,683
851,493
852,530
853,000
854,000
855,2461
856,206
857,110
858,372
859,10677
860,24113
861,4384
862,31564
863,21
864,5200
865,621
866,778
867,524
868,168
869,136
870,094
871,142
872,22
873,142
874,505
875,472
876,501
877,900
878,20675
879,2788
880,1264
881,1861
882,1960
883,11
884,140
885,835
886,361
887,326
888,260
889,413
890,128
891,432
892,69
893,3708
894,155
895,3
896,607
897,488
898,777
899,984
900,510
901,000
902,000
903,132
904,303
905,1
906,3754
907,14520
908,80
909,381
910,0
911,86397
912,11
913,106
914,696
915,923
916,579
917,483
918,486
919,112
920,074
921,744
922,280
923,67
924,330
925,081
926,182
927,343
928,542
929,072
930,269
931,672
932,509
933,14379
934,69
935,111
936,541
937,61
938,810
939,213
940,570
941,604
942,714
943,589
944,948
945,340
946,039
947,028
948,240
949,541
950,656
951,129
952,021
953,163
954,1490
955,722
956,146
957,11
958,4174
959,634
960,699
961,070
962,331
963,58873
964,9492
965,76
966,1
967,141872
968,13
969,837
970,541
971,643
972,100
973,000
974,812
975,152230
976,31
977,92855
978,2334
979,707
980,12
981,803
982,135
983,271
984,697
985,200
986,000
987,000
988,000
989,000
990,000
991,000
992,410
993,818
994,372
995,112
996,000
997,000
998,000
999,521
1000,693
1001,268
1002,22207
1003,14554
1004,4053
1005,31966
1006,613
1007,64926
1008,31
1009,684
1010,203
1011,826
1012,2073
1013,131
1014,71
1015,11018
1016,3373
1017,41
1018,5548
1019,130
1020,425
1021,29
1022,341
1023,582
1024,419
1025,355
1026,587
1027,421
1028,000
1029,000
1030,1
1031,706
1032,312
1033,081
1034,068
1035,300
1036,75
1037,17919
1038,9583
1039,1138
1040,1995
1041,31492
1042,532
1043,1
1044,988
1045,24
1046,49708
1047,116
1048,064
1049,072
1050,510
1051,462
1052,553
1053,0
1054,391
1055,282
1056,321
1057,756
1058,510
1059,000
1060,000
1061,154
1062,918
1063,362
1064,419
1065,339
1066,10638
1067,6544
1068,3655
1069,14651
1070,115
1071,51
1072,220
1073,610
1074,268
1075,9068
1076,1
1077,51
1078,15469
1079,197
1080,1
1081,73
1082,1908
1083,124
1084,1
1085,470
1086,978
1087,212
1088,21
1089,676
1090,115
1091,922
1092,679
1093,265
1094,19
1095,1006
1096,258
1097,76
1098,597
1099,4824
1100,161
1101,2500
1102,31
1103,267
1104,21
1105,830
1106,555
1107,49
1108,101
1109,967
1110,684
1111,411
1112,102
1113,25
1114,696
1115,581
1116,385
1117,12
1118,587
1119,532
1120,206
1121,239
1122,700
1123,000
1124,211
1125,799
1126,227
1127,398
1128,340
1129,172
1130,12346
1131,41
1132,365
1133,917929
1134,6249
1135,1
1136,032
1137,871
1138,473
1139,090
1140,104
1141,375
1142,257
1143,130
1144,000
1145,106
1146,297
1147,222
1148,522
1149,016
1150,911
1151,758
1152,123
1153,1221
1154,21
1155,107
1156,71
1157,496
1158,662
1159,17
1160,758
1161,746
1162,281
1163,543
1164,1533
1165,6277
1166,1199
1167,31
1168,1349
1169,78126
1170,213330
1171,377
1172,242
1173,487
1174,4633
1175,267
1176,1555
1177,55
1178,301
1179,740
1180,31
1181,892
1182,363
1183,871
1184,850
1185,19656
1186,1023
1187,1631
1188,1068
1189,31
1190,11
1191,685
1192,602
1193,885
1194,112
1195,431
1196,245
1197,475
1198,414
1199,938
1200,280
1201,000
1202,000
1203,282
1204,649
1205,209
1206,664
1207,864
1208,164
1209,978212
1210,1
1211,116
1212,396
1213,985
1214,38070
1215,9322
1216,972
1217,95
1218,1
1219,482
1220,352
1221,084
1222,158
1223,9744
1224,21677
1225,54871
1226,15128
1227,104138
1228,71
1229,32
1230,472
1231,339
1232,323
1233,500
1234,128
1235,826
1236,371834
1237,6144
1238,10547
1239,0
1240,315
1241,727
1242,543
1243,358
1244,358
1245,6923
1246,11313
1247,770
1248,4104
1249,71
1250,1595
1251,1891
1252,042
1253,572
1254,209
1255,337
1256,070
1257,000
1258,9
1259,681
1260,21
1261,148065
1262,703
1263,10086
1264,228
1265,411
1266,11
1267,133
1268,664
1269,427
1270,959
1271,212
1272,335
1273,932
1274,4201
1275,131
1276,1
1277,75
1278,6619
1279,362
1280,027
1281,51204
1282,469
1283,167367
1284,361
1285,49
1286,24736
1287,804
1288,311
1289,1762
1290,1177
1291,157
1292,027
1293,432
1294,334
1295,034
1296,473
1297,900
1298,000
1299,000
1300,000
1301,483
1302,151
1303,905
1304,262
1305,801
1306,1488
1307,444
1308,481
1309,874
1310,656
1311,7
1312,201
1313,443
1314,871
1315,614
1316,211
1317,465
1318,13420
1319,662
1320,532
1321,26
1322,379
1323,104
1324,138
1325,821
1326,3
1327,710
1328,146
1329,009
1330,924
1331,335
1332,21
1333,1
1334,151
1335,2312
1336,290
1337,1
1338,139
1339,267
1340,331
1341,681
1342,520
1343,316
1344,571
1345,772
1346,705
1347,546
1348,155
1349,015
1350,674
1351,244
1352,601
1353,330
1354,9382
1355,6600
1356,174
1357,98
1358,1877
1359,6934
1360,447
1361,69
1362,189
1363,1295
1364,70
1365,11
1366,389
1367,725
1368,012
1369,64
1370,424
1371,367
1372,124
1373,882
1374,000
1375,000
1376,77
1377,760
1378,197
1379,821
1380,259
1381,600
1382,000
1383,130771
1384,61921
1385,66
1386,137
1387,861
1388,553
1389,153
1390,700
1391,1
1392,999
1393,1
1394,600
1395,18632
1396,11
1397,342
1398,1
1399,1205
1400,796
1401,419
1402,563
1403,81
1404,3573
1405,196
1406,435
1407,446
1408,218
1409,550
1410,900
1411,000
1412,000
1413,000
1414,4
1415,466
1416,120
1417,920
1418,989
1419,328
1420,3
1421,735
1422,911
1423,819
1424,788
1425,163
1426,139
1427,631
1428,836
1429,391
1430,128
1431,435
1432,414
1433,951
1434,756
1435,800
1436,000
1437,78451
1438,31
1439,95
1440,171
1441,487
1442,631
1443,661
1444,000
1445,1017684
1446,844
1447,924
1448,422
1449,1763
1450,875
1451,649
1452,71
1453,43
1454,25060
1455,48560
1456,2504
1457,953
1458,27692
1459,87
1460,928
1461,11
1462,468
1463,291
1464,647
1465,2161
1466,53157
1467,53
1468,1
1469,29
1470,3540
1471,1347
1472,1775
1473,66
1474,507
1475,110
1476,065
1477,283
1478,0
1479,162581
1480,166
1481,16517
1482,97
1483,81
1484,836
1485,441
1486,145
1487,000
1488,000
1489,340
1490,746
1491,319
1492,396
1493,700
1494,000
1495,000
1496,000
1497,000
1498,000
1499,000
1500,1
1501,946
1502,844
1503,314
1504,710
1505,32
1506,012
1507,302
1508,497
1509,346
1510,916
1511,370
1512,565
1513,829
1514,470
1515,000
1516,4233
1517,61
1518,352
1519,771
1520,311
1521,0
1522,85
1523,994
1524,257763
1525,621
1526,31
1527,6795
1528,87
1529,277
1530,390
1531,063
1532,862
1533,2584
1534,707
1535,154
1536,4964
1537,2546
1538,6831
1539,33109
1540,2240
1541,17
1542,3
1543,178
1544,950
1545,033
1546,379
1547,000
1548,000
1549,000
1550,323
1551,243
1552,823
1553,520
1554,215
1555,287
1556,236
1557,309
1558,810
1559,894
1560,200
1561,000
1562,000
1563,000
1564,000
1565,000
1566,000
1567,722
1568,91
1569,43
1570,296
1571,819
1572,3305
1573,2129
1574,4776
1575,9817
1576,31
1577,68110
1578,10
1579,500
1580,165
1581,563
1582,164
1583,000
1584,000
1585,785
1586,199
1587,038
1588,19
1589,611
1590,695
1591,286
1592,307
1593,361
1594,369
1595,51
1596,330
1597,335
1598,932
1599,10
1600,588
1601,251
1602,401
1603,100
1604,271
1605,274
1606,052
